address,city,country,district,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year
"1 Crusader Way, Manchester, NH 03103, USA",Manchester,USA,,[],1992-02-14,cmp,4,Championship Finals,cmp,6639,ChIJZbgktvRO4okRAI1dUYoad0Y,https://maps.google.com/?cid=5077556286256418048,1992cmp,42.9666738,-71.4344026,Manchester Memorial High School,FIRST Robotics Competition,,,,03103,,FIRST Robotics Competition,1992-02-13,NH,America/New_York,[],,,1992
"194 Lund Rd, Nashua, NH 03060, USA",Nashua,USA,,[],1993-02-27,cmp,4,Championship Finals,cmp,6637,ChIJKxNd57Kw44kRWWGu2jAegY0,https://maps.google.com/?cid=10196464226519638361,1993cmp,42.7378505,-71.4752761,Bishop Guertin High School,FIRST Robotics Competition,,,,03060,,FIRST Robotics Competition,1993-02-25,NH,America/New_York,[],,,1993
"36 Riverside St, Nashua, NH 03062, USA",Nashua,USA,,[],1994-02-26,cmp,4,Championship Finals,cmp,6635,ChIJXf_56Tu344kR8RWBfWXgCfc,https://maps.google.com/?cid=17801005728660526577,1994cmp,42.7535148,-71.4957937,Nashua High School South,FIRST Robotics Competition,,,,03062,,FIRST Robotics Competition,1994-02-24,NH,America/New_York,[],,,1994
"1 Crusader Way, Manchester, NH 03103, USA",Manchester,USA,,[],1995-04-01,cmp,4,Championship Finals,cmp,6633,ChIJZbgktvRO4okRAI1dUYoad0Y,https://maps.google.com/?cid=5077556286256418048,1995cmp,42.9666738,-71.4344026,Manchester Memorial High School,National Championship,,,,03103,,National Championship,1995-03-30,NH,America/New_York,[],,,1995
"1 Crusader Way, Manchester, NH 03103, USA",Manchester,USA,,[],1995-02-26,nh,0,Regional,nh,6631,ChIJZbgktvRO4okRAI1dUYoad0Y,https://maps.google.com/?cid=5077556286256418048,1995nh,42.9666738,-71.4344026,Manchester Memorial High School,New England Tournament,,,,03103,,New England,1995-02-25,NH,America/New_York,[],,0.0,1995
"200 Epcot Center Dr, Orlando, FL 32821, USA",Orlando,USA,,[],1996-04-20,cmp,4,Championship Finals,cmp,5149,ChIJGzFs3q9_3YgRvZd1y2NSJOo,https://maps.google.com/?cid=16871700692605441981,1996cmp,28.374694,-81.549404,Epcot,FIRST National Championship,,,,32821,,FIRST National Championship,1996-04-18,FL,America/New_York,[],,,1996
"2500 N River Rd, Hooksett, NH 03106, USA",Hooksett,USA,,[],1996-03-30,nh,0,Regional,nh,6629,ChIJLWcsGJVF4okRnlf9v_TJ-Ro,https://maps.google.com/?cid=1943806767217334174,1996nh,43.0413237,-71.4521908,Southern New Hampshire University,New England Tournament,,,,03106,,New England,1996-03-28,NH,America/New_York,[],,0.0,1996
"200 Epcot Center Dr, Orlando, FL 32821, USA",Orlando,USA,,[],1997-04-12,cmp,4,Championship Finals,cmp,5097,ChIJGzFs3q9_3YgRvZd1y2NSJOo,https://maps.google.com/?cid=16871700692605441981,1997cmp,28.374694,-81.549404,Epcot,National Championship,,,,32821,,National Championship,1997-04-10,FL,America/New_York,[],,,1997
"1200 W Algonquin Rd, Palatine, IL 60067, USA",Palatine,USA,,[],1997-03-08,il,0,Regional,il,6623,ChIJQ6gzmOqlD4gRT2cT-DdotQ4,https://maps.google.com/?cid=1059867876910131023,1997il,42.08135100000001,-88.07055799999999,Harper College,Motorola Midwest Regional,,,,60067,,Motorola Midwest,1997-03-06,IL,America/Chicago,[],,0.0,1997
"2500 N River Rd, Hooksett, NH 03106, USA",Hooksett,USA,,[],1997-03-15,nh,0,Regional,nh,6625,ChIJLWcsGJVF4okRnlf9v_TJ-Ro,https://maps.google.com/?cid=1943806767217334174,1997nh,43.0413237,-71.4521908,Southern New Hampshire University,DEKA New England Regional,,,,03106,,DEKA New England,1997-03-13,NH,America/New_York,[],,1.0,1997
"New Brunswick, NJ 08901, USA",New Brunswick,USA,,[],1997-03-22,nj,0,Regional,nj,6627,ChIJvwa-GFXGw4kRSK96kWYgtFE,https://maps.google.com/?cid=5887366237779570504,1997nj,40.5008186,-74.44739910000001,Rutgers–New Brunswick,Johnson & Johnson Mid-Atlantic Regional,,,,08901,,Johnson & Johnson Mid-Atlantic,1997-03-20,NJ,America/New_York,[],,2.0,1997
"200 Epcot Center Dr, Orlando, FL 32821, USA",Orlando,USA,,[],1998-04-04,cmp,4,Championship Finals,cmp,5099,ChIJGzFs3q9_3YgRvZd1y2NSJOo,https://maps.google.com/?cid=16871700692605441981,1998cmp,28.374694,-81.549404,Epcot,National Championship,,,,32821,,National Championship,1998-04-02,FL,America/New_York,[],,,1998
"1200 W Algonquin Rd, Palatine, IL 60067, USA",Palatine,USA,,[],1998-03-14,il,0,Regional,il,6613,ChIJQ6gzmOqlD4gRT2cT-DdotQ4,https://maps.google.com/?cid=1059867876910131023,1998il,42.08135100000001,-88.07055799999999,Harper College,Motorola Midwest Regional,,,,60067,,Motorola Midwest,1998-03-12,IL,America/Chicago,[],,1.0,1998
"900 Oakwood St, Ypsilanti, MI 48197, USA",Ypsilanti,USA,,[],1998-03-21,mi,0,Regional,mi,6615,ChIJ9TNoGyupPIgRvbyZPIqSCZU,https://maps.google.com/?cid=10739275908861508797,1998mi,42.251677,-83.627405,Eastern Michigan University,Great Lakes Regional,,,,48197,,Great Lakes,1998-03-19,MI,America/New_York,[],,2.0,1998
"2500 N River Rd, Hooksett, NH 03106, USA",Hooksett,USA,,[],1998-03-14,nh,0,Regional,nh,6617,ChIJLWcsGJVF4okRnlf9v_TJ-Ro,https://maps.google.com/?cid=1943806767217334174,1998nh,43.0413237,-71.4521908,Southern New Hampshire University,New England Regional,,,,03106,,New England,1998-03-12,NH,America/New_York,[],,1.0,1998
"New Brunswick, NJ 08901, USA",New Brunswick,USA,,[],1998-03-21,nj,0,Regional,nj,6619,ChIJvwa-GFXGw4kRSK96kWYgtFE,https://maps.google.com/?cid=5887366237779570504,1998nj,40.5008186,-74.44739910000001,Rutgers–New Brunswick,Johnson & Johnson Mid-Atlantic Regional,,,,08901,,Johnson & Johnson Mid-Atlantic,1998-03-19,NJ,America/New_York,[],,2.0,1998
"1601 NASA Road 1, Houston, TX 77058, USA",Houston,USA,,[],1998-03-07,tx,0,Regional,tx,6621,ChIJLZlhwACdQIYRFvnVL8mq8BM,https://maps.google.com/?cid=1436836062198888726,1998tx,29.550238,-95.096958,Space Center Houston,Southwest Regional,,,,77058,,Southwest,1998-03-05,TX,America/Chicago,[],,0.0,1998
