team_id,city,country,postal_code,rookie_year
frc1,Pontiac,USA,48340,1997.0
frc4,Van Nuys,USA,91406,1997.0
frc5,Melvindale,USA,48122,1998.0
frc6,Plymouth,USA,55442,1994.0
frc7,Baltimore,USA,21234,1997.0
frc8,Palo Alto,USA,94301,1996.0
frc9,Chicago,USA,60625,1998.0
frc10,St. Louis Park,USA,55416,1998.0
frc11,Flanders,USA,07836,1997.0
frc13,,,60050,1996.0
frc14,,,33705,1997.0
frc15,,,00683,1997.0
frc16,Mountain Home,USA,72653,1996.0
frc17,,,07073,1998.0
frc18,,,,
frc19,Greenwich,USA,06830,1992.0
frc20,Clifton Park,USA,12065,1992.0
frc21,Titusville,USA,32796,1998.0
frc22,Chatsworth,USA,91311,1997.0
frc23,Plymouth,USA,02360,1995.0
frc24,,,47429,1997.0
frc25,North Brunswick,USA,08902,1997.0
frc27,Clarkston,USA,48346,1997.0
frc28,Sag Harbor,USA,11963,1996.0
frc29,,,55044-7016,1998.0
frc30,Lincroft,USA,07738,1998.0
frc31,Jenks,USA,74037,1997.0
frc33,Bloomfield Hills,USA,48326,1996.0
frc34,Athens,USA,35611,1997.0
frc35,Whitehall,USA,49461,1997.0
frc37,Coral Gables,USA,02026,1996.0
frc38,Woodbury,USA,06798,1998.0
frc39,Gilbert,USA,85234,1998.0
frc40,Manchester,USA,03104,1998.0
frc41,Warren,USA,07059,1997.0
frc42,Hudson,USA,03051,1995.0
frc45,Kokomo,USA,46902,1992.0
frc46,,,48505,1998.0
frc47,Pontiac,USA,48341,1996.0
frc48,Warren,USA,44483,1998.0
frc49,Saginaw,USA,48601,1998.0
frc51,Pontiac,USA,48342,1996.0
frc52,,,91745,1997.0
frc53,Greenbelt,USA,20770,1998.0
frc55,,,,
frc56,Bound Brook,USA,08805,1997.0
frc57,Houston,USA,77018,1998.0
frc58,South Portland,USA,04106,1996.0
frc59,Miami,USA,33165,1997.0
frc60,Kingman,USA,86401,1997.0
frc61,Upton,USA,01568,1995.0
frc62,,,,
frc63,Erie,USA,16506,1997.0
frc64,Mesa,USA,85212,1998.0
frc65,Pontiac,USA,48340,1997.0
frc66,Ypsilanti,USA,48197,1998.0
frc67,Highland,USA,48357,1997.0
frc68,Ortonville,USA,48462,1998.0
frc69,Quincy,USA,02169,1998.0
frc70,Goodrich,USA,48438,1998.0
frc71,Hammond,USA,46320,1996.0
frc73,Rochester,USA,14609,1995.0
frc74,Holland,USA,49423,1995.0
frc75,Hillsborough,USA,08844,1996.0
frc77,,,,
frc78,Newport,USA,02841,1996.0
frc79,Oldsmar,USA,34688,1998.0
frc80,Phoenix,USA,85020,1994.0
frc81,Freeport,USA,61032,1994.0
frc84,Towanda,USA,18848,1998.0
frc85,Zeeland,USA,49464,1996.0
frc86,Jacksonville,USA,32204,1998.0
frc87,Mount Holly,USA,08060,1997.0
frc88,Bridgewater,USA,02324,1996.0
frc89,PA,,,1997.0
frc90,,,,
frc92,Lincolnshire,USA,60069,1997.0
frc93,Appleton,USA,54915,1997.0
frc94,Southfield,USA,48033,1998.0
frc95,White River Junction,USA,05001,1997.0
frc96,Springfield,USA,01109,1997.0
frc97,Cambridge,USA,02138,1996.0
frc98,,,,
frc100,Woodside,USA,94062,1995.0
frc101,Chicago,USA,60634,1997.0
frc102,Somerville,USA,08876,1998.0
frc103,Kintnersville,USA,18930,1997.0
frc104,West Chester,USA,19380,1998.0
frc105,CHARLTON,USA,01550,1996.0
frc106,phila,USA,,1997.0
frc107,Holland,USA,49423,1997.0
frc108,Fort Lauderdale,USA,33311,1995.0
frc109,Libertyville,USA,60048,1998.0
frc111,Arlington Heights,USA,60005,1996.0
frc112,Arlington Heights,USA,60004,1998.0
frc114,Los Altos,USA,94022,1997.0
frc115,Cupertino,USA,95014,1998.0
frc116,Herndon,USA,20170,1996.0
frc117,Pittsburgh,USA,15217,1998.0
frc118,Houston,USA,77573,1997.0
frc120,Cleveland,USA,44115,1995.0
frc121,Middletown,USA,02842,1996.0
frc122,Hampton,USA,23666,1997.0
frc123,Hamtramck,USA,48212,1997.0
frc124,Waterford,USA,06320,1996.0
frc125,Revere,USA,02115,1998.0
frc126,Clinton,USA,01510,1992.0
frc127,Friendswood,USA,77546,1998.0
frc128,Columbus,USA,43212,1997.0
frc130,,,03244,1996.0
frc131,Manchester,USA,03104,1992.0
frc132,Wilton Manors,USA,93455,1998.0
frc133,Standish,USA,04084,1997.0
frc134,Pembroke,USA,03275,1997.0
frc135,Mishawaka,USA,46545,1998.0
frc136,Plainfield,USA,07060,1997.0
frc138,Amherst,USA,03031,1996.0
frc140,Tyngsboro,USA,01879,1997.0
frc141,Holland,USA,49424,1995.0
frc144,Hamilton,USA,45251,1994.0
frc145,Norwich,USA,13815,1997.0
frc146,,,,
frc147,St. Petersburg,USA,33710,1997.0
frc148,Greenville,USA,75402,1992.0
frc151,Nashua,USA,03062,1992.0
frc153,Bridgewater,USA,08807,1997.0
frc155,Berlin,USA,06037,1994.0
frc156,Fairview,USA,16415,1997.0
frc157,Marlborough,USA,01752,1992.0
frc158,Milford,USA,45150,1996.0
frc159,Fort Collins,USA,80521,1998.0
frc161,,,,
frc162,,,,
frc163,,,,
frc165,Annapolis,USA,21402,1998.0
frc166,Merrimack,USA,03054,1995.0
