phase,bucket,event_count,bucket_mid
auto,"(0.5, 0.55]",21,0.525
auto,"(0.55, 0.6]",26,0.575
auto,"(0.6, 0.65]",37,0.625
auto,"(0.65, 0.7]",69,0.675
auto,"(0.7, 0.75]",88,0.725
auto,"(0.75, 0.8]",111,0.775
auto,"(0.8, 0.85]",146,0.825
auto,"(0.85, 0.9]",146,0.875
auto,"(0.9, 0.95]",170,0.925
auto,"(0.95, 1.0]",183,0.975
auto,"(1.0, 1.05]",186,1.025
auto,"(1.05, 1.1]",143,1.0750000000000002
auto,"(1.1, 1.15]",103,1.125
auto,"(1.15, 1.2]",67,1.1749999999999998
auto,"(1.2, 1.25]",53,1.225
auto,"(1.25, 1.3]",33,1.275
auto,"(1.3, 1.35]",32,1.3250000000000002
auto,"(1.35, 1.4]",30,1.375
auto,"(1.4, 1.45]",30,1.4249999999999998
auto,"(1.45, 1.5]",26,1.475
auto,"(1.5, 1.55]",14,1.525
endgame,"(0.5, 0.55]",12,0.525
endgame,"(0.55, 0.6]",16,0.575
endgame,"(0.6, 0.65]",11,0.625
endgame,"(0.65, 0.7]",12,0.675
endgame,"(0.7, 0.75]",12,0.725
endgame,"(0.75, 0.8]",16,0.775
endgame,"(0.8, 0.85]",10,0.825
endgame,"(0.85, 0.9]",11,0.875
endgame,"(0.9, 0.95]",8,0.925
endgame,"(0.95, 1.0]",10,0.975
endgame,"(1.0, 1.05]",12,1.025
endgame,"(1.05, 1.1]",18,1.0750000000000002
endgame,"(1.1, 1.15]",7,1.125
endgame,"(1.15, 1.2]",2,1.1749999999999998
endgame,"(1.2, 1.25]",6,1.225
endgame,"(1.25, 1.3]",7,1.275
endgame,"(1.3, 1.35]",1,1.3250000000000002
endgame,"(1.35, 1.4]",4,1.375
endgame,"(1.4, 1.45]",1,1.4249999999999998
endgame,"(1.45, 1.5]",1,1.475
endgame,"(1.5, 1.55]",3,1.525
teleop,"(0.5, 0.55]",15,0.525
teleop,"(0.55, 0.6]",27,0.575
teleop,"(0.6, 0.65]",39,0.625
teleop,"(0.65, 0.7]",58,0.675
teleop,"(0.7, 0.75]",91,0.725
teleop,"(0.75, 0.8]",138,0.775
teleop,"(0.8, 0.85]",154,0.825
teleop,"(0.85, 0.9]",158,0.875
teleop,"(0.9, 0.95]",206,0.925
teleop,"(0.95, 1.0]",185,0.975
teleop,"(1.0, 1.05]",163,1.025
teleop,"(1.05, 1.1]",121,1.0750000000000002
teleop,"(1.1, 1.15]",91,1.125
teleop,"(1.15, 1.2]",62,1.1749999999999998
teleop,"(1.2, 1.25]",44,1.225
teleop,"(1.25, 1.3]",37,1.275
teleop,"(1.3, 1.35]",28,1.3250000000000002
teleop,"(1.35, 1.4]",32,1.375
teleop,"(1.4, 1.45]",18,1.4249999999999998
teleop,"(1.45, 1.5]",16,1.475
teleop,"(1.5, 1.55]",13,1.525
totalMinusFouls,"(0.5, 0.55]",11,0.525
totalMinusFouls,"(0.55, 0.6]",26,0.575
totalMinusFouls,"(0.6, 0.65]",34,0.625
totalMinusFouls,"(0.65, 0.7]",52,0.675
totalMinusFouls,"(0.7, 0.75]",97,0.725
totalMinusFouls,"(0.75, 0.8]",145,0.775
totalMinusFouls,"(0.8, 0.85]",154,0.825
totalMinusFouls,"(0.85, 0.9]",148,0.875
totalMinusFouls,"(0.9, 0.95]",206,0.925
totalMinusFouls,"(0.95, 1.0]",184,0.975
totalMinusFouls,"(1.0, 1.05]",167,1.025
totalMinusFouls,"(1.05, 1.1]",133,1.0750000000000002
totalMinusFouls,"(1.1, 1.15]",85,1.125
totalMinusFouls,"(1.15, 1.2]",51,1.1749999999999998
totalMinusFouls,"(1.2, 1.25]",58,1.225
totalMinusFouls,"(1.25, 1.3]",44,1.275
totalMinusFouls,"(1.3, 1.35]",23,1.3250000000000002
totalMinusFouls,"(1.35, 1.4]",26,1.375
totalMinusFouls,"(1.4, 1.45]",17,1.4249999999999998
totalMinusFouls,"(1.45, 1.5]",27,1.475
totalMinusFouls,"(1.5, 1.55]",11,1.525
