phase,bucket,event_count,bucket_mid
auto,"(0.5, 0.55]",18,0.525
auto,"(0.55, 0.6]",24,0.575
auto,"(0.6, 0.65]",28,0.625
auto,"(0.65, 0.7]",56,0.675
auto,"(0.7, 0.75]",70,0.725
auto,"(0.75, 0.8]",99,0.775
auto,"(0.8, 0.85]",123,0.825
auto,"(0.85, 0.9]",133,0.875
auto,"(0.9, 0.95]",142,0.925
auto,"(0.95, 1.0]",141,0.975
auto,"(1.0, 1.05]",158,1.025
auto,"(1.05, 1.1]",121,1.0750000000000002
auto,"(1.1, 1.15]",81,1.125
auto,"(1.15, 1.2]",47,1.1749999999999998
auto,"(1.2, 1.25]",34,1.225
auto,"(1.25, 1.3]",23,1.275
auto,"(1.3, 1.35]",21,1.3250000000000002
auto,"(1.35, 1.4]",25,1.375
auto,"(1.4, 1.45]",24,1.4249999999999998
auto,"(1.45, 1.5]",20,1.475
auto,"(1.5, 1.55]",17,1.525
endgame,"(0.5, 0.55]",13,0.525
endgame,"(0.55, 0.6]",11,0.575
endgame,"(0.6, 0.65]",9,0.625
endgame,"(0.65, 0.7]",9,0.675
endgame,"(0.7, 0.75]",6,0.725
endgame,"(0.75, 0.8]",12,0.775
endgame,"(0.8, 0.85]",10,0.825
endgame,"(0.85, 0.9]",10,0.875
endgame,"(0.9, 0.95]",9,0.925
endgame,"(0.95, 1.0]",8,0.975
endgame,"(1.0, 1.05]",8,1.025
endgame,"(1.05, 1.1]",13,1.0750000000000002
endgame,"(1.1, 1.15]",9,1.125
endgame,"(1.15, 1.2]",1,1.1749999999999998
endgame,"(1.2, 1.25]",3,1.225
endgame,"(1.25, 1.3]",3,1.275
endgame,"(1.3, 1.35]",0,1.3250000000000002
endgame,"(1.35, 1.4]",3,1.375
endgame,"(1.4, 1.45]",0,1.4249999999999998
endgame,"(1.45, 1.5]",1,1.475
endgame,"(1.5, 1.55]",2,1.525
teleop,"(0.5, 0.55]",11,0.525
teleop,"(0.55, 0.6]",20,0.575
teleop,"(0.6, 0.65]",32,0.625
teleop,"(0.65, 0.7]",45,0.675
teleop,"(0.7, 0.75]",76,0.725
teleop,"(0.75, 0.8]",116,0.775
teleop,"(0.8, 0.85]",130,0.825
teleop,"(0.85, 0.9]",137,0.875
teleop,"(0.9, 0.95]",168,0.925
teleop,"(0.95, 1.0]",166,0.975
teleop,"(1.0, 1.05]",126,1.025
teleop,"(1.05, 1.1]",108,1.0750000000000002
teleop,"(1.1, 1.15]",60,1.125
teleop,"(1.15, 1.2]",48,1.1749999999999998
teleop,"(1.2, 1.25]",31,1.225
teleop,"(1.25, 1.3]",25,1.275
teleop,"(1.3, 1.35]",23,1.3250000000000002
teleop,"(1.35, 1.4]",23,1.375
teleop,"(1.4, 1.45]",13,1.4249999999999998
teleop,"(1.45, 1.5]",11,1.475
teleop,"(1.5, 1.55]",15,1.525
totalMinusFouls,"(0.5, 0.55]",11,0.525
totalMinusFouls,"(0.55, 0.6]",19,0.575
totalMinusFouls,"(0.6, 0.65]",27,0.625
totalMinusFouls,"(0.65, 0.7]",42,0.675
totalMinusFouls,"(0.7, 0.75]",77,0.725
totalMinusFouls,"(0.75, 0.8]",120,0.775
totalMinusFouls,"(0.8, 0.85]",135,0.825
totalMinusFouls,"(0.85, 0.9]",136,0.875
totalMinusFouls,"(0.9, 0.95]",162,0.925
totalMinusFouls,"(0.95, 1.0]",158,0.975
totalMinusFouls,"(1.0, 1.05]",135,1.025
totalMinusFouls,"(1.05, 1.1]",101,1.0750000000000002
totalMinusFouls,"(1.1, 1.15]",75,1.125
totalMinusFouls,"(1.15, 1.2]",36,1.1749999999999998
totalMinusFouls,"(1.2, 1.25]",41,1.225
totalMinusFouls,"(1.25, 1.3]",27,1.275
totalMinusFouls,"(1.3, 1.35]",17,1.3250000000000002
totalMinusFouls,"(1.35, 1.4]",19,1.375
totalMinusFouls,"(1.4, 1.45]",18,1.4249999999999998
totalMinusFouls,"(1.45, 1.5]",15,1.475
totalMinusFouls,"(1.5, 1.55]",14,1.525
