phase,bucket,event_count,bucket_mid
auto,"(0.5, 0.55]",33,0.525
auto,"(0.55, 0.6]",33,0.575
auto,"(0.6, 0.65]",26,0.625
auto,"(0.65, 0.7]",14,0.675
auto,"(0.7, 0.75]",111,0.725
auto,"(0.75, 0.8]",21,0.775
auto,"(0.8, 0.85]",62,0.825
auto,"(0.85, 0.9]",95,0.875
auto,"(0.9, 0.95]",82,0.925
auto,"(0.95, 1.0]",363,0.975
auto,"(1.0, 1.05]",29,1.025
auto,"(1.05, 1.1]",89,1.0750000000000002
auto,"(1.1, 1.15]",61,1.125
auto,"(1.15, 1.2]",44,1.1749999999999998
auto,"(1.2, 1.25]",115,1.225
auto,"(1.25, 1.3]",30,1.275
auto,"(1.3, 1.35]",14,1.3250000000000002
auto,"(1.35, 1.4]",22,1.375
auto,"(1.4, 1.45]",36,1.4249999999999998
auto,"(1.45, 1.5]",5,1.475
auto,"(1.5, 1.55]",15,1.525
endgame,"(0.5, 0.55]",0,0.525
endgame,"(0.55, 0.6]",0,0.575
endgame,"(0.6, 0.65]",0,0.625
endgame,"(0.65, 0.7]",0,0.675
endgame,"(0.7, 0.75]",1,0.725
endgame,"(0.75, 0.8]",0,0.775
endgame,"(0.8, 0.85]",0,0.825
endgame,"(0.85, 0.9]",0,0.875
endgame,"(0.9, 0.95]",0,0.925
endgame,"(0.95, 1.0]",67,0.975
endgame,"(1.0, 1.05]",0,1.025
endgame,"(1.05, 1.1]",0,1.0750000000000002
endgame,"(1.1, 1.15]",0,1.125
endgame,"(1.15, 1.2]",0,1.1749999999999998
endgame,"(1.2, 1.25]",1,1.225
endgame,"(1.25, 1.3]",0,1.275
endgame,"(1.3, 1.35]",0,1.3250000000000002
endgame,"(1.35, 1.4]",0,1.375
endgame,"(1.4, 1.45]",0,1.4249999999999998
endgame,"(1.45, 1.5]",38,1.475
endgame,"(1.5, 1.55]",0,1.525
teleop,"(0.5, 0.55]",5,0.525
teleop,"(0.55, 0.6]",21,0.575
teleop,"(0.6, 0.65]",28,0.625
teleop,"(0.65, 0.7]",41,0.675
teleop,"(0.7, 0.75]",76,0.725
teleop,"(0.75, 0.8]",104,0.775
teleop,"(0.8, 0.85]",117,0.825
teleop,"(0.85, 0.9]",128,0.875
teleop,"(0.9, 0.95]",165,0.925
teleop,"(0.95, 1.0]",187,0.975
teleop,"(1.0, 1.05]",122,1.025
teleop,"(1.05, 1.1]",96,1.0750000000000002
teleop,"(1.1, 1.15]",67,1.125
teleop,"(1.15, 1.2]",54,1.1749999999999998
teleop,"(1.2, 1.25]",37,1.225
teleop,"(1.25, 1.3]",35,1.275
teleop,"(1.3, 1.35]",22,1.3250000000000002
teleop,"(1.35, 1.4]",19,1.375
teleop,"(1.4, 1.45]",15,1.4249999999999998
teleop,"(1.45, 1.5]",11,1.475
teleop,"(1.5, 1.55]",16,1.525
totalMinusFouls,"(0.5, 0.55]",11,0.525
totalMinusFouls,"(0.55, 0.6]",19,0.575
totalMinusFouls,"(0.6, 0.65]",30,0.625
totalMinusFouls,"(0.65, 0.7]",41,0.675
totalMinusFouls,"(0.7, 0.75]",66,0.725
totalMinusFouls,"(0.75, 0.8]",94,0.775
totalMinusFouls,"(0.8, 0.85]",139,0.825
totalMinusFouls,"(0.85, 0.9]",140,0.875
totalMinusFouls,"(0.9, 0.95]",164,0.925
totalMinusFouls,"(0.95, 1.0]",148,0.975
totalMinusFouls,"(1.0, 1.05]",128,1.025
totalMinusFouls,"(1.05, 1.1]",101,1.0750000000000002
totalMinusFouls,"(1.1, 1.15]",85,1.125
totalMinusFouls,"(1.15, 1.2]",54,1.1749999999999998
totalMinusFouls,"(1.2, 1.25]",36,1.225
totalMinusFouls,"(1.25, 1.3]",34,1.275
totalMinusFouls,"(1.3, 1.35]",33,1.3250000000000002
totalMinusFouls,"(1.35, 1.4]",8,1.375
totalMinusFouls,"(1.4, 1.45]",17,1.4249999999999998
totalMinusFouls,"(1.45, 1.5]",8,1.475
totalMinusFouls,"(1.5, 1.55]",10,1.525
