phase,bucket,event_count,bucket_mid
auto,"(0.5, 0.55]",0,0.525
auto,"(0.55, 0.6]",43,0.575
auto,"(0.6, 0.65]",10,0.625
auto,"(0.65, 0.7]",72,0.675
auto,"(0.7, 0.75]",63,0.725
auto,"(0.75, 0.8]",88,0.775
auto,"(0.8, 0.85]",3,0.825
auto,"(0.85, 0.9]",33,0.875
auto,"(0.9, 0.95]",1,0.925
auto,"(0.95, 1.0]",658,0.975
auto,"(1.0, 1.05]",2,1.025
auto,"(1.05, 1.1]",16,1.0750000000000002
auto,"(1.1, 1.15]",6,1.125
auto,"(1.15, 1.2]",30,1.1749999999999998
auto,"(1.2, 1.25]",1,1.225
auto,"(1.25, 1.3]",42,1.275
auto,"(1.3, 1.35]",14,1.3250000000000002
auto,"(1.35, 1.4]",31,1.375
auto,"(1.4, 1.45]",1,1.4249999999999998
auto,"(1.45, 1.5]",1,1.475
auto,"(1.5, 1.55]",14,1.525
endgame,"(0.5, 0.55]",0,0.525
endgame,"(0.55, 0.6]",0,0.575
endgame,"(0.6, 0.65]",0,0.625
endgame,"(0.65, 0.7]",0,0.675
endgame,"(0.7, 0.75]",0,0.725
endgame,"(0.75, 0.8]",0,0.775
endgame,"(0.8, 0.85]",0,0.825
endgame,"(0.85, 0.9]",0,0.875
endgame,"(0.9, 0.95]",0,0.925
endgame,"(0.95, 1.0]",45,0.975
endgame,"(1.0, 1.05]",0,1.025
endgame,"(1.05, 1.1]",0,1.0750000000000002
endgame,"(1.1, 1.15]",0,1.125
endgame,"(1.15, 1.2]",0,1.1749999999999998
endgame,"(1.2, 1.25]",0,1.225
endgame,"(1.25, 1.3]",0,1.275
endgame,"(1.3, 1.35]",0,1.3250000000000002
endgame,"(1.35, 1.4]",0,1.375
endgame,"(1.4, 1.45]",0,1.4249999999999998
endgame,"(1.45, 1.5]",38,1.475
endgame,"(1.5, 1.55]",0,1.525
teleop,"(0.5, 0.55]",21,0.525
teleop,"(0.55, 0.6]",31,0.575
teleop,"(0.6, 0.65]",27,0.625
teleop,"(0.65, 0.7]",40,0.675
teleop,"(0.7, 0.75]",100,0.725
teleop,"(0.75, 0.8]",56,0.775
teleop,"(0.8, 0.85]",52,0.825
teleop,"(0.85, 0.9]",84,0.875
teleop,"(0.9, 0.95]",66,0.925
teleop,"(0.95, 1.0]",196,0.975
teleop,"(1.0, 1.05]",49,1.025
teleop,"(1.05, 1.1]",60,1.0750000000000002
teleop,"(1.1, 1.15]",56,1.125
teleop,"(1.15, 1.2]",63,1.1749999999999998
teleop,"(1.2, 1.25]",47,1.225
teleop,"(1.25, 1.3]",58,1.275
teleop,"(1.3, 1.35]",33,1.3250000000000002
teleop,"(1.35, 1.4]",36,1.375
teleop,"(1.4, 1.45]",22,1.4249999999999998
teleop,"(1.45, 1.5]",34,1.475
teleop,"(1.5, 1.55]",19,1.525
totalMinusFouls,"(0.5, 0.55]",55,0.525
totalMinusFouls,"(0.55, 0.6]",73,0.575
totalMinusFouls,"(0.6, 0.65]",55,0.625
totalMinusFouls,"(0.65, 0.7]",71,0.675
totalMinusFouls,"(0.7, 0.75]",57,0.725
totalMinusFouls,"(0.75, 0.8]",70,0.775
totalMinusFouls,"(0.8, 0.85]",95,0.825
totalMinusFouls,"(0.85, 0.9]",74,0.875
totalMinusFouls,"(0.9, 0.95]",85,0.925
totalMinusFouls,"(0.95, 1.0]",143,0.975
totalMinusFouls,"(1.0, 1.05]",52,1.025
totalMinusFouls,"(1.05, 1.1]",77,1.0750000000000002
totalMinusFouls,"(1.1, 1.15]",43,1.125
totalMinusFouls,"(1.15, 1.2]",72,1.1749999999999998
totalMinusFouls,"(1.2, 1.25]",47,1.225
totalMinusFouls,"(1.25, 1.3]",36,1.275
totalMinusFouls,"(1.3, 1.35]",33,1.3250000000000002
totalMinusFouls,"(1.35, 1.4]",44,1.375
totalMinusFouls,"(1.4, 1.45]",25,1.4249999999999998
totalMinusFouls,"(1.45, 1.5]",17,1.475
totalMinusFouls,"(1.5, 1.55]",13,1.525
