base_event_key,phase,years_count,mean_ratio_var,mean_ratio_std,mean_ratio_cv,mean_ratio_autocorr,median_ratio_var,median_ratio_std,median_ratio_cv,median_ratio_autocorr,mode_ratio_var,mode_ratio_std,mode_ratio_cv,mode_ratio_autocorr
abca,auto,4,0.0006223808301919799,0.02494756160814078,0.026147125349568257,-0.9605904911257996,0.0012755102040816315,0.0357142857142857,0.03703703703703702,-0.5000000000000001,0.023055555555555562,0.151840559652405,0.17863595253224118,-0.9819805060619659
alhu,auto,8,0.006804171915913458,0.08248740458950965,0.08365749948384342,0.260605868401792,0.04354778676013343,0.2086810646899556,0.21730803009524033,0.2680931884396871,0.2700000000000001,0.5196152422706632,0.4723774929733302,-0.48936170212765956
arc,auto,7,0.04682784214615048,0.21639741714297442,0.14793114391297713,0.0004504625109581468,0.18969573471314757,0.4355407382933858,0.29199061393180065,0.6332535014759891,0.6815017493608707,0.8255311922398031,0.5025739177657635,-0.009290142095792455
arli,auto,8,0.016331160858891827,0.12779343042148852,0.1407403819760124,-0.40513201848534236,0.11943996134648714,0.3456008700025032,0.38919461612546574,0.35448136145168574,0.7985978377962448,0.8936430147414821,0.837445981755273,0.05959323045592929
ausc,auto,7,0.012065068110981736,0.10984110392281086,0.12951131368200625,0.45817885887873266,0.038119259634432114,0.19524154177436756,0.2582288579391345,-0.021562770801377577,0.08988071682966815,0.2998011287998565,0.39053428139452406,-0.1745224864538458
ausp,auto,3,0.00020162740453287618,0.014199556490710412,0.014763224173903728,0.9999999999999999,0.0459297052154195,0.21431216767934458,0.2579114911900422,1.0,0.0,0.0,0.0,
azfl,auto,5,0.011377784066448016,0.10666669614480433,0.12295124882081725,-0.45742322384024126,0.0906122448979592,0.3010186786529354,0.37294349567620316,-0.3973823829759375,0.08604444444444445,0.29333333333333333,0.40740740740740744,0.220480500817123
azgl,auto,3,0.005823047058272445,0.0763088923931703,0.08201795166637849,-1.0,0.005540166204986152,0.07443229275647871,0.07856742013183864,-1.0,0.0022222222222222266,0.047140452079103216,0.045619792334616015,
azpx,auto,4,0.01086833741998513,0.10425131855274124,0.1094729085732155,-0.7327646681765725,0.036691342342722214,0.1915498429723246,0.22242168382837316,-0.6513824888553522,0.020833333333333336,0.14433756729740646,0.15745916432444343,
azva,auto,3,0.0010408142638104524,0.03226165314751326,0.04045170454851157,-0.9999999999999999,0.005774456190601822,0.07598984268046502,0.09068054560804385,-1.0,0.006968297937827027,0.08347633160259875,0.1171958350085746,-1.0
bcvi,auto,7,0.015280927491015664,0.12361604867902737,0.1614566482974826,-0.33114899185449453,0.041682246201663435,0.2041623035765012,0.2586161402910631,-0.49143036540913226,0.05230184902523644,0.2286959750962759,0.28438508434473536,-0.42127128263337116
caav,auto,6,0.002796686776485735,0.05288370993496707,0.04801457674045792,0.11526116583957353,0.021745359688773936,0.14746307906989442,0.1300659440973495,0.6737749597589686,0.3466979773453562,0.5888106464266387,0.38885152113396715,-0.18027229375491186
cada,auto,8,0.005708573497516164,0.0755551023923346,0.07721525079421442,-0.001505149317014511,0.04206780838885141,0.20510438412879284,0.2194734841547004,0.21296510407924965,0.7008359783779625,0.8371594700999102,0.7144763585355776,-0.790911066735892
cafr,auto,6,0.023004453855475965,0.1516721920968902,0.13403843213463645,-0.23379388704338674,0.08115007148981475,0.2848685161435267,0.22079935106189982,0.1273184749026678,0.6726237987756916,0.8201364513150794,0.45734007231331675,-0.295771852954047
cala,auto,6,0.010691466158733112,0.10339954622111797,0.10903144959929363,-0.00819085564206318,0.013893533960213823,0.11787083591887275,0.11444884416233964,-0.33040672281543787,0.033930440135426274,0.18420217190746224,0.17383317547558524,-0.2553761317475264
camb,auto,5,0.014603057264795332,0.1208431101254653,0.11405902938758024,-0.1880965854394539,0.012066603199728652,0.10984809147057882,0.09989194402682273,-0.16595459914759558,0.04560664819944599,0.21355713099647594,0.2038987682880926,-0.0015066260800049016
caoc,auto,5,0.004468525658098449,0.06684703178225979,0.07111863773129225,-0.166754545755444,0.015700591836734695,0.12530200252483875,0.1282611709693458,0.333223896045586,0.07360000000000003,0.2712931993250108,0.330845365030501,-0.19083969465648856
caph,auto,4,0.010934017252042794,0.10456585127106648,0.1255441388973877,0.5054993772051877,0.013905817174515236,0.11792292896004253,0.13336521727623857,-0.5,0.12039300554016621,0.3469769524625032,0.38836890113623335,-0.3118809559751887
cars,auto,4,0.018944344931137173,0.1376384573116728,0.10100439798567504,-0.42361159815466576,0.012473119413054476,0.11168312053777185,0.08923061251785663,-0.8067645431849831,0.40333333333333343,0.6350852961085884,0.46469655812823546,-0.5
carv,auto,5,0.02298846066544798,0.15161946004866256,0.11237818996097958,-0.6346077208417639,0.0709251138471917,0.26631769345500067,0.19604648562175003,-0.10706595472743481,0.5233777777777778,0.723448531533362,0.45595495684875753,-0.572637126924889
casd,auto,7,0.018074879493127055,0.13444284842685778,0.14927894583897885,0.035748282486417086,0.08079864119117038,0.28425101792459845,0.3356419032063455,0.15715214288824053,0.08122448979591837,0.28499910490371433,0.3499989007589474,-0.2624272098637512
casf,auto,7,0.005995112895191563,0.07742811437192283,0.08314990858503156,0.3340006236861956,0.08715320376306158,0.29521721454390426,0.35136875297399206,0.5427063869805291,0.07447340154898523,0.2728981523370674,0.33298581890669693,-0.5173374650187033
casj,auto,8,0.01504925079848727,0.12267538790844425,0.115596681963212,-0.011100668032256466,0.029307615961897234,0.17119467270302904,0.1588869103435241,0.21426225800632176,0.04669624307479226,0.21609313518664183,0.2314739714472837,-0.28092047333719916
cave,auto,8,0.00808419748873103,0.08991216541008802,0.10410234075761624,-0.09643322423192889,0.07110737327808424,0.26665965813764225,0.33490166722971754,-0.05927179532899501,0.07087752962449984,0.26622834113688915,0.36314724366862533,-0.13787334990908776
chcmp,auto,8,0.006842232477186325,0.08271778815458211,0.06454939660505636,0.35493775258171417,0.049783805175467113,0.2231228477217587,0.16382558613122294,0.34979690317213885,0.6836895967990151,0.826855245371894,0.4772734074551692,-0.3696788214360086
cmptx,auto,7,0.2668442291238134,0.5165696749943935,0.2641518301397776,0.17122713900404726,0.8186435557639304,0.9047892327851446,0.43464187668959925,0.4154010612314528,4.050312958670695,2.012538933454629,0.7488138706739581,-0.1710876027170801
code,auto,8,0.004112471238000272,0.0641285524396136,0.06288854071225722,-0.06737472660595549,0.021560871731505105,0.1468362071544519,0.13584153307147903,-0.37533922366161687,0.2727083333333332,0.5222148344631099,0.4321777940384358,-0.3062900604554254
cthar,auto,8,0.012848391239466146,0.11335074432691718,0.10699798571747507,0.484191062393324,0.016548584925660016,0.12864130334251134,0.1207196439967826,0.47934225795346846,0.33005452532403134,0.5745037208965939,0.4369626877496611,-0.41483749536969877
ctwat,auto,8,0.02372185994223299,0.1540190246113544,0.17147435580734163,-0.1839837448751907,0.07962098726064502,0.28217191082856746,0.33375101043767574,-0.16373774020794218,0.1042901234567901,0.3229398139851915,0.37502688075699664,-0.14574718523122704
cur,auto,7,0.06290736318654322,0.2508134031238028,0.16860155828456275,0.14476756591759785,0.26426047986518747,0.514062719777643,0.33536394077959636,0.608801369359325,1.687635169795835,1.2990901315135277,0.6845744606743088,0.3207242054218924
dal,auto,6,0.06052158613875833,0.2460113536785616,0.16309637425141774,0.04579213962968545,0.21226672885220568,0.46072413530463724,0.2995224850694924,0.5787986593760479,2.7038518689511304,1.6443393411796514,0.7612888245342369,-0.12479568157919724
dar,auto,3,0.030512534554561238,0.17467837460476107,0.1271684166552789,1.0,0.011054421768707483,0.10514001031342675,0.08658589084635145,-1.0,0.4780246913580248,0.6913932971601798,0.4643686324210163,-1.0
flor,auto,8,0.0023761587148607446,0.04874585843803291,0.057571731460861544,-0.6950733021724647,0.04943803044518843,0.22234664478059576,0.27686672800250367,0.027976711856167624,0.05457097376115727,0.2336043102366848,0.320179036573274,0.10076164486644573
flta,auto,4,0.00549048019056865,0.07409777453182147,0.09165546684100392,0.8444618813862168,0.003310765755510134,0.05753925404026484,0.07070365697686698,0.06654610169270858,0.07039300554016623,0.26531680221984855,0.2969672602166199,-0.2762846833479218
flwp,auto,8,0.016930732070671296,0.13011814658482995,0.14872395838239622,-0.2569241876856611,0.07561377417970738,0.2749795886601538,0.3314405108305644,-0.43806701984676194,0.39134728955063103,0.6255775647756487,0.6796839874617484,-0.3286416287626749
gaalb,auto,8,0.018228538871514773,0.13501310629533259,0.1685797337638545,-0.42415771110216494,0.08470212921590382,0.2910363022303297,0.4004810869333879,-0.1706724408075973,0.16266985995690986,0.40332351773348135,0.4614037232475351,-0.4916565357697117
gacar,auto,3,0.00833051554589296,0.09127165795521061,0.11284125219812631,-1.0,0.015853925540668713,0.1259123724685891,0.16024188764661604,-1.0,0.06155740227762391,0.24810764252159567,0.30089650263257345,
gacmp,auto,8,0.015279048476731212,0.12360844824174119,0.10510236591363006,0.48063560095460295,0.03252909540688245,0.1803582418601447,0.15155107460365683,0.5019941669452728,0.09106817054820288,0.301775033010027,0.238932888735801,0.44872312029505435
gacol,auto,5,0.02477185782741808,0.1573907806303091,0.2218352374595128,-0.7242353023264595,0.06600775847529096,0.25691975104162573,0.47158094946853835,-0.16871202813936184,0.07537777777777778,0.2745501370929867,0.3490044115588814,-0.3333333333333333
gadal,auto,9,0.022825421923416443,0.15108084565363156,0.2480000809647316,0.4877963218224175,0.0498235979651505,0.22321200228740054,0.40791885120030363,0.31094301469619967,0.13552611477326523,0.36813871675397747,0.693781972836897,-0.25570702479483276
gagai,auto,5,0.0127907462310621,0.11309618132838128,0.1814260679045469,-0.21703395074577167,0.03532734595895973,0.1879557021187698,0.3397358297711655,0.44890672275075505,0.07437256515775034,0.2727133387968956,0.4806305579318656,-0.5087341281769101
gagwi,auto,3,0.0013132024380214157,0.03623813513443284,0.049920348710772534,-1.0,0.004168975069252079,0.06456760077044894,0.09775174618633706,1.0,0.08443213296398892,0.2905720787756266,0.49293477649436657,-1.0
gal,auto,8,0.05402802066328554,0.2324392838211423,0.1629784971174601,0.3936153175155531,0.140559804862311,0.3749130630723755,0.24471559521319677,0.4191610240343983,0.7290564404432132,0.8538480195229202,0.49148535332296345,-0.39217752579810317
hiho,auto,8,0.0029755564913931934,0.054548661682879016,0.05801003970901079,0.1678575282424651,0.06754186860597805,0.25988818481411974,0.29247198543130637,0.15332226748365985,0.460974183295715,0.6789507959312773,0.706261644615609,-0.39359082238318654
hop,auto,8,0.053763087646564726,0.23186868621391016,0.16321733737872668,0.007058726067561094,0.14058274056580422,0.3749436498539537,0.2506776913959287,0.11115597026852944,1.3212178480130634,1.1494424074363463,0.5853542840981728,-0.39390392974347405
iacf,auto,8,0.0037517934670574385,0.061251885416348115,0.06096712205875681,-0.3832347627154549,0.00575893614587456,0.07588765476594042,0.07488230353845282,0.40644320566615894,0.03030470914127422,0.17408247798464446,0.1645555762043903,-0.6842908318959798
idbo,auto,8,0.003813735722151934,0.06175545095092363,0.06132576484390587,0.0526762353081536,0.01274626886765787,0.11289937496575378,0.11112389913372987,-0.5885586906097798,0.011784972299168976,0.10855861227543845,0.11837094021425139,0.3448717948717947
ilch,auto,9,0.009843185248990312,0.09921282804652991,0.09412717811245161,-0.3741295566854496,0.011155015203901355,0.10561730541867348,0.09766994583648536,-0.3548523363944301,0.17378581823847034,0.4168762625030002,0.36216345921090454,-0.06760941442720897
ilpe,auto,8,0.009415842477913154,0.0970352640946226,0.09367912436492568,0.2937268825299564,0.09768816840621292,0.3125510652776805,0.31228984538821103,0.1358654606213378,0.17785506651619298,0.4217286645654917,0.3904472205776886,0.19611753673454446
incmp,auto,8,0.013605713048193045,0.1166435298171015,0.08393575381245492,0.4065669619633523,0.11731414851310347,0.3425115304819729,0.23232817260743452,0.5168333385849847,0.9975214542508803,0.9987599582736987,0.5481659470083932,-0.19548600061510427
inmis,auto,6,0.029033173135327304,0.17039123550032526,0.1876785814048193,0.9686348273153225,0.037296702017025646,0.19312354081526584,0.21707755990179786,0.9560778809588835,0.20805555555555555,0.4561310727801336,0.3854628784057467,-0.20033112582781465
inwla,auto,6,0.02514208254369712,0.15856255088669935,0.15824254066893334,0.2997880231061886,0.12433726176420982,0.35261489158033277,0.35760746330833876,0.059242489586619956,0.36163580246913596,0.601361623708344,0.5608554003497509,-0.3683716729448205
iscmp,auto,7,0.0615964832513352,0.24818638812661584,0.18529412248474272,-0.0015814269451780768,0.1718824956216304,0.4145871387556908,0.2986605070763639,0.012409288790976702,2.524263038548753,1.5887929501822298,0.7832077923433527,-0.5464195022733925
isde1,auto,8,0.006665230728916922,0.08164086433225044,0.10002892722832746,-0.06215799348898433,0.05103904893710905,0.22591823506992315,0.3118939910265073,0.7942424255497239,0.07819079897328333,0.27962617719606175,0.4469140241501041,-0.5142091871288471
isde2,auto,8,0.0181688610162882,0.13479191747389085,0.14473332960321172,-0.05051195136841215,0.07950519868554533,0.28196666236550966,0.3197961868635724,0.2976466055544878,0.0829838027085257,0.28806909363644984,0.3525483271557196,0.38309162858495255
isde3,auto,7,0.013310202960598786,0.11536985291053632,0.10663640070282523,-0.20225508311694446,0.03160740368091667,0.1777847116062477,0.1531171802651667,0.13940304023014158,0.09345736940513352,0.30570798060425824,0.2596738949640201,0.07607212687081882
