team_id,matches_played,wins,win_rate
frc1,234,117,0.5
frc100,222,106,0.4774774774774775
frc10000,8,4,0.5
frc10001,28,11,0.39285714285714285
frc10002,14,7,0.5
frc10004,25,7,0.28
frc10006,24,7,0.2916666666666667
frc10011,40,18,0.45
frc10014,55,26,0.4727272727272727
frc10015,55,23,0.41818181818181815
frc10016,8,5,0.625
frc10017,18,6,0.3333333333333333
frc10019,12,6,0.5
frc1002,339,165,0.48672566371681414
frc10021,57,29,0.5087719298245614
frc10027,39,18,0.46153846153846156
frc10029,24,7,0.2916666666666667
frc10032,38,12,0.3157894736842105
frc10034,11,5,0.45454545454545453
frc10041,9,2,0.2222222222222222
frc10042,16,9,0.5625
frc10043,15,5,0.3333333333333333
frc10044,10,4,0.4
frc10045,10,4,0.4
frc10050,9,3,0.3333333333333333
frc10058,11,3,0.2727272727272727
frc10059,12,3,0.25
frc10062,24,8,0.3333333333333333
frc10063,24,11,0.4583333333333333
frc10064,19,7,0.3684210526315789
frc10066,38,15,0.39473684210526316
frc10069,24,12,0.5
frc10070,30,12,0.4
frc10072,26,12,0.46153846153846156
frc10077,52,22,0.4230769230769231
frc10079,49,21,0.42857142857142855
frc10090,11,4,0.36363636363636365
frc101,69,30,0.43478260869565216
frc10101,27,9,0.3333333333333333
frc10105,8,2,0.25
frc10107,30,10,0.3333333333333333
frc10108,24,10,0.4166666666666667
frc1011,207,118,0.5700483091787439
frc10114,29,15,0.5172413793103449
frc10118,60,31,0.5166666666666667
frc10120,36,20,0.5555555555555556
frc10121,28,12,0.42857142857142855
frc10131,22,8,0.36363636363636365
frc10132,8,3,0.375
frc10133,24,7,0.2916666666666667
frc10137,10,3,0.3
frc10138,12,4,0.3333333333333333
frc10139,23,10,0.43478260869565216
frc1014,174,79,0.4540229885057471
frc10140,8,2,0.25
frc10141,9,6,0.6666666666666666
frc10142,15,10,0.6666666666666666
frc10143,40,17,0.425
frc10147,19,9,0.47368421052631576
frc10152,9,3,0.3333333333333333
frc10154,24,9,0.375
frc10156,24,11,0.4583333333333333
frc10157,57,23,0.40350877192982454
frc10159,9,4,0.4444444444444444
frc10162,8,2,0.25
frc10166,9,5,0.5555555555555556
frc10167,44,20,0.45454545454545453
frc10170,27,12,0.4444444444444444
frc10172,24,7,0.2916666666666667
frc10173,18,6,0.3333333333333333
frc10177,9,3,0.3333333333333333
frc1018,368,172,0.4673913043478261
frc10180,10,4,0.4
frc10181,28,7,0.25
frc10183,10,2,0.2
