feature,importance
red_avg_winrate,0.01681289532748421
blue_avg_winrate,0.009559273617629083
red_avg_teleop,0.007529075698836996
blue_disp_teleop,0.006294633748214673
red_top2_teleop,0.006100795755968192
red_avg_total,0.005682513772699483
red_max_total,0.005641705774331795
red_max_teleop,0.005305039787798426
red_top2_auto,0.0050193837992246635
red_avg_auto,0.004488879820444836
blue_disp_total,0.0043664558253417975
red_disp_teleop,0.004091001836359964
blue_avg_teleop,0.0037237298510508056
blue_top2_auto,0.003682921852683152
blue_max_auto,0.003662517853499303
blue_avg_total,0.0033156498673740376
red_disp_total,0.003111609875535637
blue_top2_teleop,0.0024586819016527484
red_max_auto,0.002336257906549721
blue_disp_auto,0.0020097939196082825
red_disp_auto,0.0019689859212405846
red_top2_total,0.0017445419302183573
blue_max_total,0.0016527239338910648
blue_max_teleop,0.0012548459498061826
blue_top2_total,0.00016323199347073603
blue_avg_auto,-0.0007549479698020556
