feature,importance
red_avg_winrate,0.0749454306855554
blue_avg_winrate,0.06079609479250312
red_top2_total,0.04971478873300801
blue_top2_total,0.04809503943245829
blue_top2_teleop,0.04466939758812647
red_avg_total,0.043440165182043675
blue_avg_total,0.043195000798553075
red_top2_teleop,0.041977335347789656
red_avg_teleop,0.039366479744148725
blue_avg_teleop,0.03881845356450723
red_max_total,0.03638841036643633
red_disp_teleop,0.03467085323510059
blue_disp_teleop,0.03427745820044356
red_disp_total,0.03413174364246838
blue_max_total,0.03398050415382608
blue_disp_total,0.03392275188261428
blue_max_teleop,0.033074108254915274
blue_avg_auto,0.0314904752576251
red_top2_auto,0.03142283583913582
red_avg_auto,0.03133778362083553
blue_top2_auto,0.030933847304018797
red_max_teleop,0.03085975543116596
blue_disp_auto,0.03070392807393735
red_disp_auto,0.030557998186181937
blue_max_auto,0.02920502325118379
red_max_auto,0.028024337431417648
