model,precision,recall,f1,best_threshold,best_f1
heuristic_combined,0.6413779370768619,0.636309758988542,0.6388337961126537,,
heuristic_random,0.5271617497456765,0.5118530225207428,0.5193946075974742,,
heuristic_auto,0.6385470424771735,0.6355195574871593,0.637029702970297,,
heuristic_teleop,0.6109440769693325,0.6021335440537336,0.6065068152422645,,
heuristic_endgame,0.546802966526358,0.5389174239431055,0.5428315590488508,,
heuristic_total,0.6168805132317562,0.6078625049387594,0.6123383084577114,,
heuristic_winrate,0.6628810520023909,0.6572500987751877,0.6600535661144727,,
knn,0.5935348125478195,0.612998814697748,0.6031098153547133,0.01,0.6810375291540038
random_forest,0.6678888460054033,0.6837218490715132,0.6757126122608356,0.33994974874371864,0.7148240198829472
log_reg,0.6653673747807445,0.6744369814302648,0.6698714804277446,0.3054773869346734,0.713242299142585
