model,precision,recall,f1,best_threshold,best_f1,best_accuracy
heuristic_combined,0.6802922590837283,0.6805610430659819,0.6804266245309105,,,
heuristic_random,0.5156281920326864,0.49861714737258,0.50698001406046,,,
heuristic_auto,0.6528497409326425,0.6471750296325564,0.65,,,
heuristic_teleop,0.6754731861198738,0.6768075859344133,0.6761397276494967,,,
heuristic_endgame,0.4948054593603585,0.47984986171473726,0.48721291746063583,,,
heuristic_total,0.6801819620253164,0.6793757408139075,0.679778612373987,,,
heuristic_winrate,0.6628810520023909,0.6572500987751877,0.6600535661144727,,,
knn,0.5611553784860558,0.5564994073488739,0.5588176949018052,0.01,0.6754912099276111,0.5197918792083248
random_forest,0.7034816247582205,0.7184907151323587,0.7109069585613761,0.3842713567839196,0.7391992008657288,0.6803713527851459
log_reg,0.7077712331369941,0.7358751481627815,0.7215496368038741,0.3596482412060302,0.7464527027027027,0.6937359722505612
