week,event_key,model,accuracy,num_matches
0,2025week0,knn,0.5806451612903226,31
0,2025week0,random_forest,0.5806451612903226,31
0,2025week0,log_reg,0.5806451612903226,31
1,2025bcvi,knn,0.7083333333333334,96
1,2025camb,knn,0.6705882352941176,85
1,2025caoc,knn,0.6808510638297872,94
1,2025caph,knn,0.6195652173913043,92
1,2025gagai,knn,0.7215189873417721,79
1,2025inmis,knn,0.7586206896551724,87
1,2025isde1,knn,0.7534246575342466,73
1,2025isde2,knn,0.6829268292682927,82
1,2025mefal,knn,0.6533333333333333,75
1,2025mibat,knn,0.7032967032967034,91
1,2025mifer,knn,0.7157894736842105,95
1,2025miket,knn,0.7578947368421053,95
1,2025milac,knn,0.5777777777777777,90
1,2025mimil,knn,0.7127659574468085,94
1,2025mndu,knn,0.65625,96
1,2025mndu2,knn,0.6666666666666666,96
1,2025mxmo,knn,0.632183908045977,87
1,2025nhsal,knn,0.5977011494252874,87
1,2025onnew,knn,0.6712328767123288,73
1,2025orsal,knn,0.5862068965517241,87
1,2025pahat,knn,0.6962025316455697,79
1,2025txtom,knn,0.7349397590361446,83
1,2025txwac,knn,0.6804123711340206,97
1,2025vagle,knn,0.6626506024096386,83
1,2025wasno,knn,0.7407407407407407,81
1,2025bcvi,random_forest,0.7916666666666666,96
1,2025camb,random_forest,0.6941176470588235,85
1,2025caoc,random_forest,0.7021276595744681,94
1,2025caph,random_forest,0.7282608695652174,92
1,2025gagai,random_forest,0.7721518987341772,79
1,2025inmis,random_forest,0.7471264367816092,87
1,2025isde1,random_forest,0.7671232876712328,73
1,2025isde2,random_forest,0.7073170731707317,82
1,2025mefal,random_forest,0.6933333333333334,75
1,2025mibat,random_forest,0.7582417582417582,91
1,2025mifer,random_forest,0.7578947368421053,95
1,2025miket,random_forest,0.8210526315789474,95
1,2025milac,random_forest,0.7111111111111111,90
1,2025mimil,random_forest,0.6382978723404256,94
1,2025mndu,random_forest,0.6979166666666666,96
1,2025mndu2,random_forest,0.7604166666666666,96
1,2025mxmo,random_forest,0.7241379310344828,87
1,2025nhsal,random_forest,0.7701149425287356,87
1,2025onnew,random_forest,0.589041095890411,73
1,2025orsal,random_forest,0.6551724137931034,87
1,2025pahat,random_forest,0.8354430379746836,79
1,2025txtom,random_forest,0.7349397590361446,83
1,2025txwac,random_forest,0.7319587628865979,97
1,2025vagle,random_forest,0.6746987951807228,83
1,2025wasno,random_forest,0.7530864197530864,81
1,2025bcvi,log_reg,0.8125,96
1,2025camb,log_reg,0.6705882352941176,85
1,2025caoc,log_reg,0.776595744680851,94
1,2025caph,log_reg,0.7065217391304348,92
1,2025gagai,log_reg,0.7848101265822784,79
1,2025inmis,log_reg,0.7586206896551724,87
1,2025isde1,log_reg,0.7534246575342466,73
1,2025isde2,log_reg,0.7317073170731707,82
1,2025mefal,log_reg,0.7066666666666667,75
1,2025mibat,log_reg,0.7692307692307693,91
1,2025mifer,log_reg,0.8,95
1,2025miket,log_reg,0.8210526315789474,95
1,2025milac,log_reg,0.7111111111111111,90
1,2025mimil,log_reg,0.6595744680851063,94
1,2025mndu,log_reg,0.7083333333333334,96
1,2025mndu2,log_reg,0.7395833333333334,96
1,2025mxmo,log_reg,0.7241379310344828,87
1,2025nhsal,log_reg,0.7586206896551724,87
1,2025onnew,log_reg,0.6164383561643836,73
1,2025orsal,log_reg,0.6551724137931034,87
1,2025pahat,log_reg,0.8481012658227848,79
1,2025txtom,log_reg,0.7710843373493976,83
1,2025txwac,log_reg,0.7422680412371134,97
1,2025vagle,log_reg,0.6867469879518072,83
1,2025wasno,log_reg,0.7530864197530864,81
2,2025arli,knn,0.8,75
2,2025ausc,knn,0.7142857142857143,91
2,2025cave,knn,0.5698924731182796,93
2,2025ctwat,knn,0.6292134831460674,89
2,2025gadal,knn,0.7402597402597403,77
2,2025isde3,knn,0.684931506849315,73
2,2025mabos,knn,0.6483516483516484,91
2,2025mdpas,knn,0.6292134831460674,89
2,2025miesc,knn,0.6813186813186813,91
2,2025mike2,knn,0.6881720430107527,93
2,2025mimtp,knn,0.7083333333333334,96
2,2025misjo,knn,0.75,96
2,2025mose,knn,0.6172839506172839,81
2,2025nccat,knn,0.76,75
2,2025njfla,knn,0.627906976744186,86
2,2025njtab,knn,0.6296296296296297,81
2,2025ntwc,knn,0.6144578313253012,83
2,2025nysu,knn,0.6629213483146067,89
